City_ID,City,Country,Latitude,Longitude,Max Temperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather Description
312,Mendi,PG,-6.1761,143.6513,55.67,98,100,1.36,overcast clouds
313,Bradley,US,35.1501,-84.8666,71.65,39,0,4.61,clear sky
314,Mus,TR,39.0,41.75,55.44,76,98,4.68,light rain
315,Palmas Bellas,PA,9.2319,-80.0867,83.01,88,100,5.17,overcast clouds
316,Lima,PE,-12.0432,-77.0282,69.39,67,100,6.91,mist
317,Tolbazy,RU,54.0241,55.8825,49.32,78,100,11.79,overcast clouds
318,Caravelas,BR,-17.7125,-39.2481,84.07,60,0,8.93,clear sky
319,Auray,FR,47.6703,-2.9918,67.55,55,97,6.02,overcast clouds
320,Kapit,MY,2.0167,112.9333,72.72,99,40,1.97,scattered clouds
321,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,9.22,scattered clouds
322,Asopos,GR,36.7333,22.8667,69.37,52,13,2.26,few clouds
323,Kemijarvi,FI,66.7131,27.4306,31.77,47,100,9.64,overcast clouds
324,Calvia,ES,39.5657,2.5062,68.92,56,100,5.53,overcast clouds
325,Pimentel,PE,-6.8367,-79.9342,71.89,68,75,11.5,broken clouds
326,Redding,US,40.5865,-122.3917,56.21,51,20,8.99,few clouds
327,Filadelfia,US,39.9523,-75.1638,53.6,34,20,21.85,few clouds
328,Saint-Joseph,RE,-21.3667,55.6167,74.21,78,38,4.07,scattered clouds
329,Wanning,CN,18.8003,110.3967,79.18,94,88,6.49,overcast clouds
330,Makakilo City,US,21.3469,-158.0858,71.92,75,75,11.5,broken clouds
331,Gomez Plata,CO,6.6818,-75.2191,70.39,65,100,3.58,overcast clouds
332,Tabuk,PH,17.4189,121.4443,76.59,82,54,4.76,broken clouds
333,Surt,LY,31.2089,16.5887,67.51,69,92,16.4,overcast clouds
334,Edmundston,CA,47.3737,-68.3251,34.03,77,100,27.63,snow
335,Louny,CZ,50.357,13.7967,63.59,43,87,7.58,overcast clouds
336,Grindavik,IS,63.8424,-22.4338,50.47,76,75,13.8,broken clouds
337,Honiara,SB,-9.4333,159.95,77.49,88,95,4.32,overcast clouds
338,Mountain Home,US,43.133,-115.6912,45.88,66,75,5.75,broken clouds
339,Arkadelphia,US,34.1209,-93.0538,72.19,46,75,6.91,broken clouds
340,Ciudad Bolivar,VE,8.1222,-63.5497,85.37,64,90,6.67,overcast clouds
341,Pilar,BR,-9.5972,-35.9567,80.53,73,99,8.52,overcast clouds
342,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.25,39,5,5.14,clear sky
